ID,Name,Website,Description,Date
1,Society for Affective Science Meeting,https://society-for-affective-science.org/conferences/2019-sas-annual-conference/home/,"Annual meeting for society for affective science in Boston, MA",3/21-3/23/19
2,Computational SANS Preconference,https://computational-san.github.io/Preconference.html,"SANS Preconference on computational approaches to social and affective neuroscience in Miami, FL",5/2/19
3,Social and Affective Neuroscience Meeting (SANS),https://www.socialaffectiveneuro.org/,"Annual meeting for social and affective neuroscience meeting in Miami, FL",5/2-5/4/19
4,OHBM,https://www.humanbrainmapping.org/,Annual meeting for organization for human brain mapping in Rome,6/9-6/13/19
5,Summer Institute in Computational Social Science,https://compsocialscience.github.io/summer-institute/2019/,"Two week summer school in computational social science in Santa Barbara, CA",6/24-7/5/19
6,Reinforcement Learning & Decision-Making (RLDM),http://rldm.org/,Interdisciplinary conference on reinforcement-learning and decision-making in McGill,7/7-7/10/19
7,Methods in Neuroscience at Dartmouth (MIND),https://summer-mind.github.io/,"Nine day hands on training in computational data analysis methods via Pop-up Labs in Hanover, NH",TBD
8,Affective Computing & Intelligent Interactions,http://acii-conf.org/2019/,IEEE Conference on Affective computing in Cambridge UK,9/3-9/6/19
9,Neuroeconomics,https://neuroeconomics.org/,Annual meeting for neuroeconomics in Dublin,10/4/-10/6
10,Society for Neuroscience,https://www.sfn.org/Meetings/Neuroscience-2019,Largest annual neuroscience meeting in Chicago,10/19-10/23/19
